Seller_ID,Name,City,Locality,Latitude,Longitude,Product,Price_per_kg,Rating,Stock_quantity,Verified,Cluster,Email,Mobile
SELL0001,Nitin Shinde,Hyderabad,Gachibowli,17.4448,78.3498,Garlic,38.47,3.1,92,Yes,0,nitin.shinde24@yahoo.in,7641730187
SELL0002,Mahesh Chavan,Shimla,Mall Road,31.1048,77.1734,Ginger,56.03,4.8,214,Yes,1,mahesh.chavan52@yahoo.in,9698924537
SELL0003,Shivam Joshi,Ahmedabad,Navrangpura,23.0415,72.56,Onions,31.32,3.9,89,No,2,shivam.joshi16@yahoo.in,8459109418
SELL0004,Deepak Bhosale,Ranchi,Lalpur,23.3619,85.338,Garlic,38.92,3.1,393,Yes,3,deepak.bhosale61@gmail.com,9737979148
SELL0005,Santosh Joshi,Thiruvananthapuram,Kowdiar,8.5241,76.9366,Garlic,44.98,2.6,258,No,4,santosh.joshi86@outlook.com,8172809655
SELL0006,Ashok Joshi,Mumbai,Andheri,19.1197,72.8468,Green Chillies,39.99,4.7,90,No,2,ashok.joshi87@outlook.com,8357114626
SELL0007,Ajay Yadav,Patna,Boring Road,25.6127,85.1582,Onions,34.44,3.0,254,Yes,3,ajay.yadav16@outlook.com,8101162784
SELL0008,Anil Naik,Guwahati,Dispur,26.1445,91.7362,Garlic,46.6,3.7,476,Yes,3,anil.naik47@gmail.com,7158236316
SELL0009,Ganesh Jadhav,Chennai,T. Nagar,13.0418,80.2332,Potatoes,19.74,3.3,100,Yes,4,ganesh.jadhav82@yahoo.in,7834264844
SELL0010,Amit Rathod,Shimla,Mall Road,31.1048,77.1734,Green Chillies,31.06,3.5,203,Yes,1,amit.rathod58@outlook.com,7461834224
SELL0011,Ashok Rathod,Guwahati,Dispur,26.1445,91.7362,Potatoes,55.75,4.4,351,No,3,ashok.rathod13@gmail.com,9534794530
SELL0012,Ashok Salunkhe,Kolkata,Salt Lake,22.5867,88.4173,Tomatoes,39.35,2.8,391,Yes,3,ashok.salunkhe99@gmail.com,9589054016
SELL0013,Mahesh Rathod,Delhi,Karol Bagh,28.6518,77.1905,Potatoes,37.42,4.7,361,No,1,mahesh.rathod36@gmail.com,7778256886
SELL0014,Santosh Bhosale,Chandigarh,Sector 17,30.741,76.7682,Potatoes,20.72,4.6,489,Yes,1,santosh.bhosale32@gmail.com,7506996299
SELL0015,Suresh Bhosale,Surat,Adajan,21.1702,72.8311,Onions,46.98,3.3,489,Yes,2,suresh.bhosale28@outlook.com,9262004620
SELL0016,Nitin Naik,Surat,Adajan,21.1702,72.8311,Tomatoes,17.23,3.0,87,Yes,2,nitin.naik66@gmail.com,7327757102
SELL0017,Rajesh Chavan,Ahmedabad,Navrangpura,23.0415,72.56,Green Chillies,48.39,4.3,54,Yes,2,rajesh.chavan59@yahoo.in,7548663264
SELL0018,Ravi Rane,Kolkata,Salt Lake,22.5867,88.4173,Tomatoes,59.59,4.7,162,Yes,3,ravi.rane32@yahoo.in,7741930370
SELL0019,Vijay Patil,Ahmedabad,Navrangpura,23.0415,72.56,Garlic,42.98,4.9,330,No,2,vijay.patil14@gmail.com,7179762229
SELL0020,Mahesh Shinde,Kolkata,Salt Lake,22.5867,88.4173,Potatoes,47.92,4.2,58,No,3,mahesh.shinde50@gmail.com,8353228789
SELL0021,Vijay Kulkarni,Ranchi,Lalpur,23.3619,85.338,Ginger,37.7,4.9,492,Yes,3,vijay.kulkarni62@yahoo.in,9236001169
SELL0022,Kiran Shinde,Mumbai,Andheri,19.1197,72.8468,Onions,15.1,3.0,214,No,2,kiran.shinde82@gmail.com,8374075002
SELL0023,Prakash Sawant,Bengaluru,Whitefield,12.9698,77.7499,Garlic,50.44,4.8,166,Yes,4,prakash.sawant18@gmail.com,8397730057
SELL0024,Ganesh Thakur,Delhi,Karol Bagh,28.6518,77.1905,Green Chillies,14.19,3.1,424,No,1,ganesh.thakur18@outlook.com,7739147564
SELL0025,Deepak Chavan,Indore,Vijay Nagar,22.75,75.892,Ginger,21.23,4.6,99,No,0,deepak.chavan62@outlook.com,9594316341
SELL0026,Ramesh Deshmukh,Chandigarh,Sector 17,30.741,76.7682,Garlic,12.09,3.3,426,No,1,ramesh.deshmukh26@gmail.com,9705807859
SELL0027,Santosh Shinde,Jaipur,Malviya Nagar,26.85,75.815,Onions,53.26,4.0,371,Yes,1,santosh.shinde44@outlook.com,7825262553
SELL0028,Kiran More,Lucknow,Hazratganj,26.8505,80.9467,Tomatoes,29.67,3.6,435,No,1,kiran.more53@outlook.com,9592965391
SELL0029,Kiran Deshmukh,Nagpur,Dharampeth,21.1458,79.0882,Ginger,22.98,2.7,296,Yes,0,kiran.deshmukh23@yahoo.in,7282387298
SELL0030,Ravi Thakur,Bengaluru,Whitefield,12.9698,77.7499,Garlic,12.07,4.1,193,No,4,ravi.thakur16@yahoo.in,8530652069
SELL0031,Anil Rane,Surat,Adajan,21.1702,72.8311,Ginger,55.38,3.3,164,Yes,2,anil.rane49@yahoo.in,9162435118
SELL0032,Ravi Sawant,Mumbai,Andheri,19.1197,72.8468,Onions,10.74,3.4,205,No,2,ravi.sawant66@gmail.com,7483141069
